label,message
spam,"ATTENTION: Your CashApp account has been limited. Verify identity: cashapp-verify.co"
ham,"I just made a fresh pot of coffee if you want some."
spam,"IMPORTANT: Your Netflix password was recently changed. Not you? Reset: netflix-secure.co"
ham,"Can you call the electrician about the kitchen light?"
spam,"CONGRATULATIONS! You've won a $500 Delta Airlines voucher! Claim prize: delta-winner.co"
ham,"Don't forget to take your medication tonight."
spam,"WARNING: Your computer has been infected with malware. Call tech support: 1-866-555-9876"
ham,"What time should I pick you up for the airport tomorrow?"
spam,"URGENT: Your bank card has been deactivated. Call immediately: 1-888-555-2143"
ham,"Just wanted to check in and see how you're doing today."
spam,"ATTENTION: Your Uber account shows suspicious activity. Verify now: uber-security.co"
ham,"Can you pick up some dog food on your way home? We're almost out."
spam,"EXCLUSIVE OFFER: Get 80% OFF designer watches! Limited time: luxury-watches.co"
ham,"The meeting with the client went really well today!"
spam,"FINAL WARNING: Your electricity will be shut off in 3 hours. Pay now: utility-pay.co"
ham,"I'm making your favorite dinner tonight. Should be ready by 7pm."
spam,"CONGRATULATIONS! You've been selected for a FREE iPad Pro! Just pay shipping: ipad-winner.co"
ham,"Don't forget about the doctor's appointment tomorrow at 11am."
spam,"SECURITY ALERT: Your WhatsApp account has been compromised. Verify: whatsapp-secure.co"
ham,"Can you send me the address for the interview tomorrow?"
spam,"IMPORTANT: Your T-Mobile account is past due. Pay now: tmobile-payment.co"
ham,"Just finished that book you recommended. It was amazing!"
spam,"URGENT: Your PayPal account has been temporarily limited. Verify: paypal-secure.co"
ham,"The kids have soccer practice at 5:30pm today."
spam,"Make $1,000 DAILY with cryptocurrency! No experience needed: crypto-wealth.co"
ham,"Can you pick up some cold medicine? I think I'm coming down with something."
spam,"ATTENTION: Your Instagram account will be permanently deleted. Verify: instagram-verify.co"
ham,"I'll be home around 6:30pm tonight. Traffic is terrible."
spam,"CONGRATULATIONS! You've won a $250 Amazon gift card! Claim prize: amazon-winner.co"
ham,"Don't forget we have dinner with the Johnsons tomorrow night at 7pm."
spam,"WARNING: Your Apple ID has been locked for security reasons. Unlock: apple-verify.co"
ham,"Can you call the landlord about the broken dishwasher?"
spam,"EXCLUSIVE OFFER: Get 90% OFF Nike shoes! Limited time offer: nike-deals.co"
ham,"The weather looks great for our picnic on Saturday!"
spam,"URGENT: Your Verizon service will be disconnected today. Pay now: verizon-pay.co"
ham,"I just got tickets to the concert next month! Want to come?"
spam,"SECURITY ALERT: Your Gmail password was recently changed. Not you? Verify: gmail-reset.co"
ham,"Can you pick up the kids from daycare today? I'm stuck in a meeting."
spam,"FINAL NOTICE: Your auto insurance has been canceled. Last chance to renew: insurance-renew.co"
ham,"How did your job interview go today?"
spam,"ATTENTION: Your Office 365 subscription has expired. Renew now: office-renew.co"
ham,"The birthday party starts at 2pm on Sunday."
spam,"CONGRATULATIONS! You've been selected for a $100 Uber credit! Claim now: uber-winner.co"
ham,"Can you get some cough medicine? I think I'm coming down with something."
spam,"IMPORTANT: Your Amazon Prime membership will be canceled. Update payment: amazon-prime.co"
ham,"Did you call about getting the car serviced?"
spam,"URGENT: Your Chase account shows suspicious activity. Verify transactions: chase-secure.co"
ham,"I'm running late for dinner. Be there in about 20 minutes."
spam,"Make $5,000 MONTHLY from home! Easy work, flexible hours: work-from-home.co"
ham,"Can you water the plants while I'm away next week?"
spam,"SECURITY ALERT: Your Facebook password was recently changed. Not you? Verify: facebook-reset.co"
ham,"Don't forget about the company holiday party next Friday."
spam,"EXCLUSIVE OFFER: Get 70% OFF all Apple products! Shop now: apple-deals.co"
ham,"The doctor's appointment is tomorrow at 9:30am. Don't forget!"
spam,"ATTENTION: Your AT&T account is past due. Pay now: att-payment.co"
ham,"Can you call the plumber about the bathroom sink?"
spam,"CONGRATULATIONS! You've won a $500 Best Buy gift card! Claim prize: bestbuy-winner.co"
ham,"I just finished the project. Everything looks good for the presentation."
spam,"FINAL WARNING: Your Netflix account will be suspended. Update payment: netflix-pay.co"
ham,"What time should I pick you up for the movie tonight?"
spam,"URGENT: Your Microsoft account shows unauthorized access. Secure now: microsoft-secure.co"
ham,"Can you pick up some milk on your way home? We're out."
spam,"WARNING: Your computer is infected with spyware! Call tech support: 1-866-555-4321"
ham,"The parent-teacher conference is tomorrow at 5:30pm."
spam,"ATTENTION: Your Snapchat account will be permanently deleted. Verify: snapchat-verify.co"
ham,"I just got a promotion at work! Let's celebrate this weekend!"
spam,"EXCLUSIVE OFFER: Get 85% OFF designer handbags! Limited stock: luxury-bags.co"
ham,"Can you send me the notes from today's meeting?"
spam,"IMPORTANT: Your Wells Fargo account has been locked. Verify identity: wellsfargo-secure.co"
ham,"Don't forget to call mom for her birthday tomorrow!"
spam,"CONGRATULATIONS! You've been selected for a $50 Chipotle gift card! Claim: chipotle-winner.co"
ham,"The car needs an oil change. Can you schedule it for next week?"
spam,"SECURITY ALERT: Your Venmo account shows suspicious activity. Verify: venmo-verify.co"
ham,"I'm making lasagna for dinner tonight. Should be ready by 7pm."
spam,"URGENT: Your electricity will be disconnected in 24 hours. Pay now: utility-payment.co"
ham,"Can you pick up the dry cleaning tomorrow? It's ready."
spam,"Make $3,000 WEEKLY with our affiliate program! Join now: easy-money.co"
ham,"How was your doctor's appointment today?"
spam,"ATTENTION: Your Disney+ subscription has expired. Renew now: disney-renew.co"
ham,"The kids have a half day at school tomorrow. Don't forget."
spam,"FINAL NOTICE: Your car warranty has expired. Last chance to renew: warranty-renew.co"
ham,"Can you help me move the furniture on Saturday?"
spam,"CONGRATULATIONS! You've won our $2,000 weekly drawing! Claim prize: cash-winner.co"
ham,"I'll be working late tonight. Don't wait up for dinner."
spam,"WARNING: Your Apple ID was used to sign in on a new device. Verify: apple-secure.co"
ham,"Don't forget about the dentist appointment tomorrow at 2:30pm."
spam,"IMPORTANT: Your Instagram account shows unusual activity. Verify: instagram-secure.co"
ham,"Can you water the plants while I'm away this weekend?"
spam,"EXCLUSIVE OFFER: Buy one MacBook, get iPad FREE! Limited time: apple-bundle.co"
ham,"The birthday party starts at 3pm on Saturday."
spam,"URGENT: Your T-Mobile service will be disconnected today. Pay now: tmobile-pay.co"
ham,"I just finished that book you recommended. It was great!"
spam,"SECURITY ALERT: Your PayPal account has been compromised. Verify now: paypal-verify.co"
ham,"Can you pick up some aspirin? I have a headache."
spam,"ATTENTION: Your Amazon order of AirPods Pro has shipped! Track: amazon-track.co"
ham,"The meeting tomorrow has been moved to Conference Room B."
spam,"CONGRATULATIONS! You've won a $100 DoorDash gift card! Claim prize: doordash-winner.co"
ham,"I'm running late for our lunch. Be there in about 15 minutes."
spam,"FINAL WARNING: Your internet service will be disconnected. Pay now: internet-bill.co"
ham,"Can you call the doctor to reschedule my appointment for next week?"
spam,"Make $2,000 WEEKLY from your phone! No experience required: easy-income.co"
ham,"Don't forget we have tickets to the theater on Friday night."
spam,"URGENT: Your Bank of America account has been frozen. Verify identity: bofa-verify.co"
ham,"How did your presentation go today?"
spam,"WARNING: Your computer has 14 viruses! Call tech support now: 1-888-555-6789"
ham,"Can you pick up the kids from soccer practice at 6pm today?"
spam,"EXCLUSIVE OFFER: Get 75% OFF Ray-Ban sunglasses! Shop now: rayban-deals.co"
ham,"I just got tickets to the game on Sunday! Want to come?"
spam,"ATTENTION: Your Spotify Premium subscription has expired. Renew now: spotify-renew.co"
ham,"The dentist appointment is at 3:30pm tomorrow."
spam,"IMPORTANT: Your Facebook account will be permanently deleted. Verify: facebook-verify.co"
ham,"Can you send me the address for the restaurant tonight?"
spam,"CONGRATULATIONS! You've been selected for a FREE Samsung TV! Just pay shipping: samsung-tv.co"
ham,"Don't forget to pay the rent tomorrow. It's due by 5pm."
spam,"SECURITY ALERT: Your Snapchat password was recently changed. Not you? Verify: snapchat-reset.co"
ham,"I'm making your favorite dinner tonight. Should be ready by 7pm."
spam,"URGENT: Your electric service will be disconnected in 3 hours. Pay now: utility-pay.co"
ham,"Can you pick up some dog food on your way home? We're almost out."
spam,"Make $5,000 MONTHLY with Bitcoin! No experience needed! Start: crypto-fortune.co"
ham,"The parent-teacher conference is on Thursday at 4:30pm."
spam,"ATTENTION: Your Microsoft Office subscription has expired. Renew now: office-renew.co"
ham,"Just wanted to check in and see how you're doing today."
spam,"FINAL NOTICE: Your auto insurance has been canceled. Reinstate now: auto-insurance.co"
ham,"Can you pick up my prescription from the pharmacy today?"
spam,"WARNING: Your iPhone has been infected with 6 viruses! Clean now: phone-security.co"
ham,"I just got a new job! Starting next month. So excited!"
spam,"EXCLUSIVE OFFER: Get 90% OFF designer watches! Limited time: luxury-watches.co"
ham,"Don't forget about the doctor's appointment tomorrow at 10am."
spam,"URGENT: Your Chase credit card has been suspended. Call now: 1-888-555-9753"
ham,"Can you call the plumber about the bathroom sink?"
spam,"CONGRATULATIONS! You've won a $250 Southwest Airlines voucher! Claim: southwest-winner.co"
ham,"The meeting with the client went really well today!"
spam,"SECURITY ALERT: Your Gmail account shows suspicious login attempts. Verify: gmail-secure.co"
ham,"I'll be in a meeting until 4pm today. Talk later."
spam,"IMPORTANT: Your Netflix account will be canceled. Update payment: netflix-renew.co"
ham,"Can you pick up some milk on your way home? We're out."
spam,"ATTENTION: Your Instagram account will be permanently deleted. Verify: instagram-verify.co"
ham,"The kids have a half day at school tomorrow. Don't forget."
spam,"Make $3,000 WEEKLY from home! No experience needed! Start now: easy-money.co"
ham,"What time should I pick you up for the airport tomorrow?"
spam,"FINAL WARNING: Your electricity will be shut off in 24 hours. Pay now: utility-payment.co"
ham,"I just baked your favorite cookies. Come over and get some!"
spam,"EXCLUSIVE OFFER: Get 80% OFF Nike shoes! Limited time offer: nike-deals.co"
ham,"Can you send me the notes from today's meeting?"
spam,"URGENT: Your Social Security Number has been suspended. Call now: 1-866-555-8642"
ham,"Don't forget we have dinner with the Johnsons tomorrow night at 7pm."
spam,"CONGRATULATIONS! You've been selected for a $100 Uber Eats credit! Claim: ubereats-winner.co"
ham,"How was your dental appointment today?"
spam,"WARNING: Your Apple ID has been locked for security reasons. Unlock: apple-verify.co"
ham,"The birthday party starts at 2pm on Sunday."
spam,"SECURITY ALERT: Your Venmo account has been compromised. Verify now: venmo-verify.co"
ham,"Can you water the plants while I'm away this weekend?"
spam,"ATTENTION: Your Sprint bill is past due. Pay now to avoid service interruption: sprint-pay.co"
ham,"I'm running late for dinner. Be there in about 20 minutes."
spam,"IMPORTANT: Your PayPal account has been temporarily limited. Verify: paypal-secure.co"
ham,"The car needs an oil change. Can you schedule it for next week?"
spam,"FINAL NOTICE: Your car warranty coverage ends tomorrow. Renew now: warranty-extend.co"
ham,"Can you pick up some aspirin? I have a headache."
spam,"EXCLUSIVE OFFER: Buy one iPhone, get one FREE! Limited time offer: apple-bogo.co"
ham,"Don't forget about the parent-teacher conference tonight at 6:30pm."
spam,"URGENT: Your bank card has been deactivated. Call immediately: 1-888-555-2143"
ham,"I just got tickets to the concert next month! Want to come?"
spam,"CONGRATULATIONS! You've won a $500 Target gift card! Claim prize: target-reward.co"
ham,"Can you pick up the dry cleaning tomorrow? It's ready."
spam,"Make $1,000 DAILY with our affiliate program! Join now: easy-profit.co"
ham,"The doctor's appointment is tomorrow at 9:30am. Don't forget!"
spam,"WARNING: Your computer is infected with spyware! Call tech support: 1-866-555-9876"
ham,"I'll be working late tonight. Don't wait up for dinner."
spam,"SECURITY ALERT: Your Facebook account shows suspicious activity. Verify: facebook-secure.co"
ham,"Can you help me move the furniture this weekend?"
spam,"ATTENTION: Your Walmart account shows suspicious activity. Verify: walmart-secure.co"
ham,"The parent-teacher conference is on Thursday at 5pm."
spam,"IMPORTANT: Your Netflix password was recently changed. Not you? Reset: netflix-secure.co"
ham,"How was your job interview today?"
spam,"URGENT: Your electricity will be disconnected in 3 hours. Pay now: utility-pay.co"
ham,"Just wanted to check in and see how you're doing today."
spam,"FINAL WARNING: Your internet service will be disconnected tomorrow. Pay now: internet-pay.co"
ham,"Can you pick up the kids from daycare today? I'm stuck in a meeting."
spam,"EXCLUSIVE OFFER: Get 85% OFF designer handbags! Limited stock: luxury-bags.co"
ham,"Don't forget to call mom for her birthday tomorrow!"
spam,"CONGRATULATIONS! You've been selected for a FREE iPad Pro! Just pay shipping: ipad-winner.co"
